record_id,case_number,year,region,court_code,article,defendant_id,defendant_category,penalty,trigger_object,source,mentioned_in,snippet_en,snippet_ru
record_6679c2c9,5-28/2014,2014,27,27MS0026,6.21_2,official_0002,official,fine (50000),Mass media (mass_media_001),court,https://web.archive.org/web/20220304091520/https://www.bbc.com/russian/rolling_news/2014/01/140131_rn_khabarovsk_gay_scandal,"The editor-in-chief of the local newspaper, “Young Far Easterner”, was fined for the article “History with Gayography.” This article tells a story of an openly gay school geography teacher in Khabarovsk who was fired because of his sexual orientation. The court found that this article “promoted non-traditional sexual relations among minors”.","Главный редактор газеты “Молодой Дальневосточник” был оштрафован за статью “История с гейографией.” В этой статье рассказывается история открыто гомосексуального учителя географии в школе в Хабаровске, который был уволен из-за своей сексуальной ориентации. Суд установил, что эта статья “пропагандировала нетрадиционные сексуальные отношения среди несовершеннолетних”."
record_5d903167,4-а-75/2014,2014,46,46OS0000,6.21_2,official_0001,official,fine (100000),Mass media (mass_media_002),court,,"The editor-in-chief of the Kursk online media outlet “CRNews” was fined for publishing the article ""You and I won't make it"" (09.08.2013), which, according to the court, “contained information aimed at developing non-traditional sexual attitudes in minors.” A judicial expert determined that the article contained “a sufficient number of suggestive techniques to [...] influence the psyche of children in terms of the presence of propaganda of homosexualism.” The expert classified phrases from the article as: “direct suggestive commands” ('Why don't you try becoming a lesbian'); “truismes” ('There aren't many joys in the life of gays'); “programming homosexual behavior” ('I can become a good mother'); “phrases appealing to presubposition” ('you know that gays earn more'); “use of manipulative figures of speech” (the expert wrote that the sentence 'After all, the male body with which God mistakenly endowed me is more resilient' “contains the false premise that God can make mistakes”); “analogous phrases with a false premise” ('Two dads? What a shame. But what about a mother, a grandmother, an aunt – is that a normal family?!'). The article is no longer available online.",
record_d1af1226,7-901/14,2014,23,23MS0229,6.21_1,individual_0001,individual,fine (4000),Merchandise (merch_004),court,,An individual was fined for selling four children's T-shirts that “contained graphic information depicting the attractiveness of non-traditional sexual relations” in a clothing shop.,
record_2db8a5f6,12-28/2014,2014,67,67RS0010,6.21_1,official_0038,official,fine (45000),Merchandise (merch_005),mass media (https://web.archive.org/web/20260606205726/https://vz.ru/news/2014/8/6/699012.html?ysclid=mq2j1onecr87263434); court,,"The director of the company “Kometa-Plus” was fined for distributing the board game “Forfeits”, which contained “elements promoting non-traditional sexual relations” among minors, as the mass media reported. The case was initiated after the organisation “Parental Committee of Stavropol” appealed to the prosecutor's office. The game asked the participants to roleplay different situations, such as “Pretend to be a same-sex couple on a date” and “Portray a man-loving Rambo” (text on the chips). The company that manufactured the board game was also fined (see case 7-149/2014).","Директор компании “Комета-Плюс” была оштрафована за распространение настольной игры “Фанты”, которая, как сообщали СМИ, содержала “элементы, пропагандирующие нетрадиционные сексуальные отношения” среди несовершеннолетних. Дело было возбуждено после обращения в прокуратуру организации “Родительский комитет Ставрополья”. Игра предлагала разыгрывать различные ситуации, такие как “Изобразите свидание однополой пары” или “Изобразите любящего мужчин Рэмбо” (текст на фишках). Компания-производитель настольной игры также была оштрафована (см. дело 7-149/2014)."
record_c13a3ebb,7-149/2014,2014,67,67OS0000,6.21_1,1026700647885,legal entity,fine (200000),Merchandise (merch_005),court,,"“Kometa-Plus”, the manufacturer of the board game “Forfeits”, was fined for “dissemination of information aimed at developing non-traditional sexual attitudes in minors”, according to the court. As the judicial expertise stated, “individual elements of the game [...] directly and indirectly promote homosexuality”. The game asked the players to roleplay different situations, such as “Pretend to be a same-sex couple on a date” and “Portray a man-loving Rambo” (text on the chips). Earlier, the general director of the company was also fined for distributing the same board game (see case 12-28/2014).","“Комета-Плюс”, компания-производитель настольной игры “Фанты”, была оштрафована за “распространение информации, направленной на формирование у несовершеннолетних нетрадиционных сексуальных установок”, согласно суду. Как заключила судебная экспертиза, “отдельные элементы игры [...] непосредственным и опосредованным способом пропагандируют гомосексуализм”. Игра предлагала разыгрывать различные ситуации, такие как “Изобразите свидание однополой пары” или “Изобразите любящего мужчин Рэмбо” (текст на фишках). Директор этой комании также была оштрафована за эту игру (см. дело 12-28/2014)."
record_a3e244e5,4а-1937,2014,16,16OS0000,6.21_1,individual_0002,individual,fine (4000),Protest (protest_001),court,https://web.archive.org/web/20260412095906/https://www.advocate.com/news/world-news/2013/12/20/third-russian-convicted-under-gay-propaganda-law; https://web.archive.org/web/20210622120212/https://www.bbc.com/russian/russia/2013/07/130731_kazan_lgbt_work_case,"An activist was fined for his single protest, during which he displayed a banner with the text “Being gay and loving gays is normal, beating gays and killing gays is a crime”. The activist appealed his fine twice, but the Supreme Court of the Republic of Tatarstan still deemed the poster to promote non-traditional sexual relations.",
record_2d1d8722,5-251/15,2015,25,25RS0002,6.21_2,1062536035858,legal entity,fine (1000000),Mass media (mass_media_003),court,,"A magazine published the article entitled “When like charges attract” about lesbian relationships, which authorities classified as material presenting same-sex relationships positively to minors and therefore treated as unlawful for public distribution.",
record_e185fbee,12-4105/2015,2015,77,77RS0023,6.21_2,official_0003,official,fine (100000),Mass media (mass_media_004),court,,"The editor-in-chief of the newspaper “Tvoi den'” was fined for publishing the article “I don't consider sex with a girlfriend to be cheating on my husband”, discussing romantic and sexual relationships between women, which authorities classified as inappropriate for distribution to minors and treated as unlawful promotion of same-sex relationships.","Газета “Твой день” опубликовала статью “Секс с подружкой я не считаю изменой мужу” (номер 143), в которой обсуждались романтические и сексуальные отношения между женщинами, которые власти квалифицировали как неподходящие для распространения среди несовершеннолетних и расценили как незаконную пропаганду однополых отношений."
record_a3d077bb,5-1003/2015,2015,63,63MS0024,6.21_2,individual_0004,individual,fine (50000),Social media (social_media_001),court,,"An individual was fined for administering a social media group “Kids against homophobia” in VKontakte, where he posted such messages as “Love each other…”, “Love conquers all…”, and “It’s nicest to fall asleep hugging your loved one…”, attaching photos of two hugging teenagers, two sleeping teenagers, and two kissing teenagers. The court viewed these posts to be “portraying same-sex relationships as emotionally and aesthetically appealing to minors”.",
record_6b264a42,5-7/2015,2015,66,66MS0065,6.21_2,individual_0003,individual,fine (50000),Social media (social_media_002),court,https://web.archive.org/web/20260611072135/https://www.bbc.com/russian/russia/2014/11/141114_klimova_deti404_interview; https://web.archive.org/web/20260427072717/https://www.hrw.org/news/2015/04/02/russia-court-hearing-against-lgbt-group,"The journalist Elena Klimova created the online support project “Children-404. LGBT-teenagers”, which included groups on social media, in which queer teens shared their experiences and sought support. The project regularly published their letters. The court determined that the project’s content constituted unlawful promotion of same-sex relationships among minors. In 2025, the European Court of Human Rights ruled that the decision of the Russian court violates the Articles 8 and 10 of the ECHR.",
record_1d758860,4а-74/2016,2016,78,78OS0000,6.21_4,individual_0006,individual,fine (50000); expulsion,Social media (social_media_003),court,,A foreign national was fined and ordered to leave the country for using social media to message with a minor in a way authorities interpreted as “promoting non-traditional sexual relationships”. The court decision did not specify which messages or actions constituted the violation.,
record_da66b862,12-182/16,2016,51,51RS0003,6.21_2,official_0004,official,fine (100000),"Queer venue, Social media (queer_venue_001)",court,,"The LGBT-support organisation, Maximum, which provided legal and psychological assistance, was fined for publishing its content online.",
record_c9a5f610,4а-2446/2016,2016,77,77OS0000,6.21_2,1157746721395,legal entity,fine (1000000),Mass media (mass_media_005),court,,A publishing house was fined for the online article “Plan B. A Lesbian Sex Masterclass” in Maxim magazine.,Издательство оштрафовано за онлайн-статью “План Би. Мастер-класс по сексу от лесбиянок” в журнале Maxim.
record_88c0e2e5,5-123/2016,2016,68,68MS0040,6.21_2,individual_0005,individual,fine (50000),Social media (social_media_004),court,,"A school teacher was prosecuted for images, quotes, and discussions related to same-sex relationships on her social media pages. ",
record_69eea6d4,5-6234/17,2017,55,55MS0082,6.21_2,individual_0008,individual,fine (25000),Social media (social_media_005),court,,"An individual was fined for posting images on his VKontakte social media page, which the court found to be “promoting non-traditional sexual relationships”. What the images depicted is unknown.",
